Sample,Position (m),U    (ppm),Mo   (ppm),V   (ppm),Cr   (ppm),Co    (ppm),Cu    (ppm),Zn     (ppm),Ni    (ppm),Pb     (ppm),Uau (ppm),Moau (ppm),Vau (ppm),Crau (ppm),Coau (ppm),Crau (ppm),Znau (ppm),Niau (ppm),Pbau (ppm),Uef    (ppm),Moef (ppm),Vef (ppm),Cref (ppm),Coef (ppm),Cuef (ppm),Znef (ppm),Nief (ppm),Pbef (ppm),Fe       (%),Mo/Th ,Mo/Fe,U/TOCR,V/    (V+Ni),TOCR    (%),TOC    (%),TS    (%),Pyrite    (%)
F20A,8.7,1.1,0.5,40.8,73.7,3.4,17.2,25.7,25.7,6.6,0,0.2,12.8,47.2,0,9.1,6.3,12.2,1.7,1.4,1.7,1.5,2.8,0.9,2.1,1.3,1.9,1.3,1.61,0.2,0.3,0.3,0.61,2.4,1.01,0.01,0
F21,9.35,0.2,0.3,16.2,18.1,1.4,5.2,6.7,9.1,1.8,0,0.2,9,11.2,0.1,3.1,1.7,5.6,0.5,1.2,4,2.2,2.6,1.4,2.5,1.3,2.6,1.4,0.38,0.3,0.9,0,0.64,2.7,0.21,0.17,0.27
F21A,9.45,0.5,0.5,45.2,79.7,7.4,16.4,36.7,33.9,7.2,0,0.1,15.2,51.2,2.1,7.7,16,19.4,1.9,0.6,1.4,1.5,2.8,1.7,1.9,1.8,2.3,1.4,1.95,0.1,0.2,0.3,0.57,1.8,0.78,0.01,0
F22A,9.85,1.2,0.4,44.4,88.8,5,16,29.7,29.7,7.7,0.4,0,12.9,58.9,0,6.9,7.9,14.4,2.2,1.4,1,1.4,3,1.1,1.8,1.4,1.9,1.4,1.95,0.1,0.2,0.7,0.6,1.9,0.81,0.02,0
F22,10.05,0.2,0.2,15,16.5,0.5,4.9,6.5,7.1,1.8,0,0.2,8.7,10.6,0,3.1,2.2,4.1,0.7,1.2,3.3,2.4,2.8,0.5,2.7,1.5,2.3,1.6,0.31,0.2,0.8,0,0.68,2.3,0.19,0.19,0.36
F23,10.55,0.4,0.2,17.4,32.5,1.1,4.7,8.2,11.2,2.1,0.2,0.1,8.5,24.1,0,2.1,2.1,6.9,0.6,1.7,2.2,2,3.9,0.9,1.8,1.3,2.6,1.4,0.49,0.3,0.5,0,0.61,2.3,0.22,0.38,0.63
F23A,10.65,0.4,0.4,22.8,48.8,2.3,6.4,11.9,15,2.9,0.1,0.3,11.3,37.8,0.3,3.1,3.9,9.4,0.9,1.4,2.9,2,4.4,1.4,1.9,1.5,2.7,1.4,0.84,0.3,0.5,0,0.6,1.8,0.25,0.26,0.69
F24A,11.4,0.8,0.6,38.7,125.8,6.1,10.6,22.4,24.6,4.8,0.1,0.3,15.4,103.7,1.9,3.9,6.3,13.3,0.7,1.2,2.2,1.7,5.7,1.8,1.6,1.4,2.2,1.2,1.77,0.2,0.3,0.3,0.61,1.6,0.36,0.01,0
F24,11.75,0.4,0.5,13.4,17.1,0.6,2.4,4.1,6.1,1.4,0.3,0.4,8.8,12.7,0,1.1,0.8,3.9,0.6,3,8.8,2.9,3.9,0.9,1.8,1.3,2.7,1.7,0.34,1,1.4,0.3,0.69,1.4,0.07,0.24,0.43
F25,12.35,0.4,0.9,16.5,15.7,2.1,3.2,7.2,7.6,2.2,0.3,0.8,10.9,10.5,1.1,1.6,3.4,4.9,1.2,2.7,13.8,3,3,2.7,2,1.9,2.8,2.2,0.62,1.7,1.4,0.3,0.69,1.6,0.11,0.4,0.65
