Depth comp r [rmcd],Grey
148.84,477.734385
148.85,466.748185
148.86,459.694039
148.87,480.873116
148.88,475.829956
148.89,479.889141
148.9,470.20783
148.91,496.26178
148.92,499.593191
148.93,505.113056
148.94,515.601127
148.95,492.769687
148.96,490.608298
148.97,501.838841
148.98,485.177942
148.99,488.008146
149,485.989035
149.01,478.05246
149.02,475.017197
149.03,501.28385
149.04,514.461027
149.05,495.910584
149.06,469.214453
149.07,491.29617
149.08,506.465401
149.09,505.000097
149.1,489.827778
149.11,486.664983
149.12,473.67752
149.13,497.859542
149.14,506.858279
149.15,501.810285
149.16,514.129657
149.17,521.685258
149.18,520.523164
149.19,518.230178
149.2,520.000198
149.21,528.143048
149.22,525.910063
149.23,465.029597
149.24,482.85906
149.25,488.119846
149.26,480.481709
149.27,477.326729
149.28,474.590828
149.29,464.554625
149.3,471.812564
149.31,478.74103
149.32,475.327573
149.33,474.385922
149.34,489.541299
149.35,481.739498
149.36,486.215477
149.37,489.412442
149.38,484.767108
149.39,484.497523
149.4,492.900274
149.41,489.779265
149.42,480.158838
149.43,472.747575
149.44,486.622008
149.45,496.447345
149.46,498.882821
149.47,489.665028
149.48,463.68899
149.49,466.827867
149.5,468.372568
149.51,439.502017
149.52,424.654786
149.53,413.204906
149.54,409.423603
149.55,416.15841
149.56,422.680496
149.57,391.204006
149.58,404.953368
149.59,400.444291
149.6,390.069336
149.61,381.032465
149.62,377.958684
149.63,362.103876
149.64,356.065265
149.65,348.898291
149.66,343.98227
149.67,337.644256
149.68,324.763191
149.69,313.534686
149.7,316.379778
149.71,311.715462
149.72,308.611098
149.73,298.367606
149.74,288.606625
149.74,346.389165
149.75,352.328745
149.76,372.855992
149.77,388.147753
149.78,409.434473
149.79,429.849197
149.8,443.037761
149.81,363.906659
149.82,466.574045
149.83,519.154077
149.84,502.339316
149.85,497.466228
149.86,489.579633
149.87,488.779422
149.88,486.908523
149.89,476.343272
149.9,473.994976
149.91,467.189114
149.92,465.388186
149.93,452.788122
149.94,418.021645
149.95,433.586501
149.96,426.732802
149.97,423.031211
149.98,407.782777
149.99,398.430258
150,417.293692
150.01,413.49482
150.02,416.93406
150.03,419.876966
150.04,422.662419
150.05,442.788981
150.06,446.322167
150.07,453.887332
150.08,470.808507
150.09,475.324935
150.1,484.927818
150.11,465.624928
150.12,467.490783
150.13,459.875152
150.14,454.870373
150.15,468.017494
150.16,456.950385
150.17,452.497787
150.18,461.379672
150.19,464.284623
150.2,471.093471
150.21,465.800899
150.22,467.116899
150.23,466.248764
150.24,465.031541
150.25,467.26321
150.26,467.186504
150.27,461.364061
150.28,464.190817
150.29,452.477978
150.3,464.444169
150.31,468.144365
150.32,460.753419
150.33,455.656598
150.34,459.710135
150.35,464.185602
150.36,478.467581
150.37,480.54252
150.38,446.975177
150.39,441.788045
150.4,463.894568
150.41,462.679483
150.42,451.226834
150.43,447.731744
150.44,438.07357
150.45,419.838416
150.46,413.219774
150.47,401.982456
150.48,410.904457
150.49,417.968158
150.5,418.341939
150.51,430.128621
150.52,420.417092
150.53,412.112682
150.54,413.828577
150.55,405.434152
150.56,425.065746
150.57,434.819321
150.58,436.469532
150.59,431.76766
150.6,459.186123
150.61,470.661648
150.62,444.203946
150.63,466.117512
150.64,449.131427
150.65,454.421761
150.66,439.104992
150.67,434.075211
150.68,435.196995
150.69,411.130727
150.7,411.27604
150.71,408.640533
150.72,390.758174
150.73,375.685612
150.74,399.73454
150.75,407.370359
150.76,404.398901
150.77,395.217205
150.78,401.492306
150.79,403.127997
150.8,373.467771
150.81,401.54769
150.82,401.868013
150.83,402.31021
150.84,396.504659
150.85,383.329645
150.86,403.646187
150.87,406.328691
150.88,409.079919
150.89,381.280527
150.9,413.309015
150.91,404.654297
150.92,386.928705
150.93,385.521179
150.94,351.206002
150.95,388.118207
150.96,383.718223
150.97,384.801864
150.98,369.58475
150.99,384.229176
151,369.050734
151.01,382.447674
151.02,383.610016
151.03,384.591162
151.04,344.208805
151.05,372.716486
151.06,347.061002
151.07,323.160808
151.08,327.376985
151.09,340.306074
151.1,354.877205
151.11,363.493432
151.12,369.886769
151.13,374.285331
151.14,375.689186
151.15,396.621292
151.16,397.78282
151.17,422.774685
151.18,429.861696
151.19,426.237447
151.2,389.00433
151.21,454.24433
151.22,460.362412
151.23,399.749645
151.24,457.788107
151.25,453.604733
151.26,454.859289
151.27,419.324929
151.28,452.855622
151.29,461.321454
151.3,461.441491
151.31,463.778934
151.32,461.098788
151.33,440.740898
151.34,445.14126
151.35,470.158597
151.36,439.176543
151.37,461.197964
151.38,455.448345
151.39,461.684911
151.4,406.825994
151.41,439.913807
151.42,457.11958
151.43,426.827819
151.44,446.007637
151.45,448.944313
151.46,441.899169
151.47,454.811519
151.48,455.299047
151.49,463.248136
151.5,399.068368
151.51,448.508998
151.52,431.409638
151.53,420.804927
151.54,416.017412
151.55,428.435089
151.56,435.252682
151.57,433.669588
151.58,435.707076
151.59,396.548368
151.6,387.336058
151.61,432.011454
151.62,435.057302
151.63,435.450335
151.64,425.361082
151.65,435.422284
151.66,433.448465
151.67,420.753376
151.68,437.455606
151.69,447.083619
151.7,448.834136
151.71,413.201645
151.72,424.361195
151.73,446.586155
151.74,452.01095
151.75,458.31916
151.76,458.851063
151.77,476.462132
151.78,478.47357
151.79,484.444167
151.8,476.81811
151.81,488.386414
151.82,510.780274
151.83,522.484814
151.84,533.163166
151.85,529.63084
151.86,518.886462
151.87,546.675038
151.88,502.823473
151.89,491.734877
151.9,536.005367
151.91,499.722391
151.92,479.903226
151.93,471.09649
151.94,476.345939
151.95,478.965059
151.96,499.135579
151.97,541.879305
151.98,567.261765
151.99,588.63962
152,637.545071
152.01,622.434421
152.02,589.127825
152.03,534.740873
152.04,458.813141
152.05,455.120247
152.06,442.773586
152.07,431.221858
152.08,430.292011
152.09,458.336573
152.1,470.501063
152.11,448.185617
152.12,413.175474
152.13,469.451347
152.14,474.387518
152.15,483.461044
152.16,478.345066
152.17,476.01219
152.18,473.374896
152.19,469.821919
152.2,429.467571
152.21,457.380588
152.22,443.185422
152.23,439.341651
152.24,442.003565
152.25,436.50556
152.26,434.403435
152.27,443.6461
152.28,408.124175
152.29,446.200065
152.3,443.74093
152.31,447.368786
152.32,443.18822
152.33,426.937761
152.34,403.787419
152.35,425.970019
152.36,431.066529
152.37,443.295844
152.38,433.099924
152.39,428.038104
152.4,405.540152
152.41,422.080808
152.42,431.908444
152.43,428.579583
152.44,441.796906
152.45,427.843378
152.46,453.782704
152.47,458.239639
152.48,455.531157
152.49,445.259751
152.5,436.343947
152.51,450.460219
152.52,454.135351
152.53,466.633795
152.54,474.109578
152.55,470.820759
152.56,479.567228
152.57,486.709962
152.58,483.79074
152.59,496.83825
152.6,472.200759
152.61,496.606636
152.62,506.090778
152.63,553.437476
152.64,546.616315
152.65,539.680645
152.66,490.511778
152.67,533.051973
152.68,550.060721
152.69,552.436395
152.7,513.228311
152.71,536.142679
152.72,535.906774
152.73,513.936116
152.74,542.574364
152.75,513.535256
152.76,463.305733
152.77,502.796091
152.78,480.140072
152.79,469.937761
152.8,460.22556
152.81,457.180821
152.82,446.915313
152.83,444.916911
152.84,446.225104
152.85,376.407666
152.86,433.936116
152.87,431.713833
152.88,416.258065
152.89,413.602694
152.9,415.104023
152.91,363.930079
152.92,404.931746
152.93,404.134207
152.94,415.727021
152.95,399.427635
152.96,409.660835
152.97,411.86148
152.98,413.245127
152.99,410.865958
153,412.795047
153.01,411.312581
153.02,372.083378
153.03,431.260173
153.04,424.818254
153.05,419.444962
153.06,412.510323
153.07,414.491518
153.08,379.518851
153.09,423.415598
153.1,438.101528
153.11,433.001803
153.12,468.514668
153.13,474.5375
153.14,480.664744
153.15,506.711997
153.16,514.286983
153.17,531.648197
153.18,547.309164
153.19,514.601594
153.2,542.096889
153.21,541.131271
153.22,503.546433
153.23,510.871639
153.24,519.778387
153.25,541.539149
153.26,558.767628
153.27,549.334483
153.28,557.60518
153.29,551.818634
153.3,539.727829
153.31,533.720266
153.32,538.122899
153.33,539.905712
153.34,526.634364
153.35,509.451709
153.36,504.739583
153.37,508.717938
153.38,420.54981
153.39,519.376726
153.4,510.681719
153.41,506.357767
153.42,514.824394
153.43,503.168206
153.44,422.113619
153.45,383.514413
153.46,440.06183
153.47,425.336592
153.48,428.283188
153.49,420.605556
153.5,389.430562
153.51,354.968131
153.52,391.24914
153.53,386.853976
153.54,379.644178
153.55,373.282756
153.56,368.690481
153.57,372.896163
153.58,347.176237
153.59,355.35629
153.6,385.65689
153.61,384.682133
153.62,389.536272
153.63,404.100776
153.64,400.076829
153.65,383.708475
153.66,413.010623
153.67,421.583993
153.68,436.272061
153.69,423.415186
153.7,415.257369
153.71,445.509426
153.72,450.300744
153.73,463.285925
153.74,465.95441
153.75,459.979096
153.76,424.578945
153.77,464.251643
153.78,462.821207
153.79,454.937344
153.8,447.68966
153.81,420.011163
153.82,404.822395
153.83,407.069465
153.84,388.980248
153.85,430.453213
153.86,402.966114
153.87,418.204289
153.88,415.2764
153.89,391.399791
153.9,421.195936
153.91,417.055925
153.92,400.386485
153.93,391.887196
153.94,350.358055
153.95,374.63793
153.96,371.244981
153.97,356.418175
153.98,375.399053
153.99,318.81314
154,353.714363
154.01,341.02175
154.02,332.710838
154.03,330.876033
154.04,339.191271
154.05,326.350114
154.06,319.353679
154.07,331.207368
154.08,288.022741
154.09,307.118457
154.1,316.278201
154.11,309.047516
154.12,303.723492
154.13,309.306168
154.14,303.357803
154.15,293.592323
154.16,262.120402
154.17,297.973172
154.18,294.118367
154.19,286.521705
154.2,293.207314
154.21,282.706657
154.22,313.127226
154.23,312.238409
154.24,292.788113
154.25,310.88328
154.26,278.872648
154.27,325.871208
154.28,327.407605
154.29,324.943517
154.3,291.712346
154.31,317.515656
154.32,309.186914
154.33,329.653901
154.34,332.319145
154.35,310.083437
154.36,349.933722
154.37,349.844902
154.38,367.728677
154.39,363.833162
154.4,377.426007
154.41,379.44855
154.42,325.346243
154.43,414.476278
154.44,409.669331
154.45,424.918904
154.46,435.518284
154.47,430.292587
154.48,370.052977
154.49,426.871046
154.5,432.470984
154.51,420.497146
154.52,387.262068
154.53,406.954662
154.54,408.128684
154.55,409.537856
154.56,363.976233
154.57,326.318101
154.58,386.65797
154.59,394.915123
154.6,373.27369
154.61,329.687823
154.62,380.176237
154.63,376.252273
154.64,320.082933
154.65,362.569168
154.66,365.945408
154.67,384.345937
154.68,287.810674
154.69,357.534975
154.7,352.641873
154.71,348.391248
154.72,354.881345
154.73,353.74535
154.74,362.821963
154.75,374.756441
154.76,313.344137
154.77,363.68424
154.78,369.962531
154.79,377.117503
154.8,391.047372
154.81,353.929149
154.82,406.61157
154.83,414.198645
154.84,418.340229
154.85,426.996867
154.86,457.84519
154.87,470.574551
154.88,465.110895
154.89,460.735968
154.9,471.452661
154.91,481.894124
154.92,496.12087
154.93,487.273816
154.94,475.083252
154.95,474.365867
154.96,423.68287
154.97,385.734616
154.98,415.455965
154.99,398.582503
155,373.522678
155.01,351.662292
155.02,360.024087
155.03,330.157101
155.04,362.478349
155.05,345.247513
155.06,316.282512
155.07,326.994209
155.08,318.584155
155.09,311.625148
155.1,275.351076
155.11,318.60687
155.12,304.702749
155.13,303.729652
155.14,301.952569
155.15,254.666174
155.16,292.357945
155.17,284.095357
155.18,266.05126
155.19,303.17827
155.2,301.338835
155.21,289.24072
155.22,249.726087
155.23,287.830215
155.24,296.9572
155.25,261.798735
155.26,279.223791
155.27,286.325323
155.28,283.29207
155.29,284.221924
155.3,241.63007
155.31,295.683549
155.32,289.2212
155.33,285.923267
155.34,280.610206
155.35,281.747478
155.36,245.196891
155.37,273.849426
155.38,285.322565
155.39,276.691704
155.4,260.547123
155.41,272.408783
155.42,272.162899
155.43,276.463583
155.44,254.888643
155.45,297.1892
155.46,316.545982
155.47,334.847409
155.48,294.913465
155.49,354.982328
155.5,370.99993
155.51,374.341941
155.52,390.889722
155.53,403.240088
155.54,358.156748
155.55,393.559614
155.56,401.215565
155.57,406.327255
155.58,351.683061
155.59,422.482472
155.6,435.872758
155.61,437.60516
155.62,419.986434
155.63,402.224562
155.64,400.256406
155.65,376.169742
155.66,369.61637
155.67,369.138535
155.68,361.830643
155.69,363.888277
155.7,359.437928
155.71,363.589511
155.72,355.189999
155.73,349.481816
155.74,334.257827
155.75,320.172949
155.76,325.952094
155.77,322.137637
155.78,318.639725
155.79,313.022056
155.8,310.693332
155.81,309.422028
155.82,324.465929
155.83,339.535406
155.84,337.284864
155.85,357.050401
