"","x"
"348",317.706821125244
"349",317.659086058711
"350",317.611370229516
"351",317.563673655547
"352",317.515996354663
"353",317.468338344688
"354",317.420699643414
"355",317.373080268601
"356",317.325480237974
"357",317.277899569227
"358",317.230338280021
"359",317.182796387984
"360",317.135273910708
"361",317.087770865757
"362",317.040287270658
"363",316.992823142285
"364",316.945378496256
"365",316.897953347589
"366",316.850547711341
"367",316.803161602605
"368",316.755795036508
"369",316.708448028219
"370",316.661120592937
"371",316.613812745898
"372",316.566524502376
"373",316.51925587768
"374",316.47200688715
"375",316.424777546168
"376",316.377567870146
"377",316.330377874534
"378",316.283207574813
"379",316.236056986503
"380",316.188926125155
"381",316.141815006354
"382",316.094723645723
"383",316.047652058914
"384",316.000600261616
"385",315.953568269552
"386",315.906556098473
"387",315.85956376417
"388",315.812591282462
"389",315.765638669208
"390",315.71870594029
"391",315.671793111628
"392",315.624900199176
"393",315.578027218916
"394",315.531174186865
"395",315.484341119072
"396",315.437528031614
"397",315.390734940607
"398",315.343961862189
"399",315.297208812537
"400",315.250475807854
"401",315.203762864379
"402",315.157069998376
"403",315.110397226145
"404",315.06374456401
"405",315.017112028334
"406",314.970499635501
"407",314.923907401932
"408",314.877335344072
"409",314.830783478401
"410",314.784251821425
"411",314.737740389678
"412",314.691249199726
"413",314.644778268166
"414",314.598327608693
"415",314.551897229246
"416",314.505487135011
"417",314.459097331373
"418",314.412727823921
"419",314.366378618444
"420",314.320049720924
"421",314.273741137548
"422",314.227452874699
"423",314.181184938957
"424",314.134937337102
"425",314.088710076106
"426",314.042503163141
"427",313.996316605574
"428",313.950150410964
"429",313.904004587069
"430",313.857879141838
"431",313.811774083416
"432",313.765689420138
"433",313.719625160535
"434",313.673581313326
"435",313.627557887425
"436",313.581554891934
"437",313.535572336147
"438",313.489610229552
"439",313.443668581818
"440",313.397747402806
"441",313.35184670257
"442",313.305966491346
"443",313.26010677956
"444",313.214267577824
"445",313.168448896936
"446",313.12265074788
"447",313.076873141827
"448",313.03111609013
"449",312.985379604325
"450",312.939663696137
"451",312.893968377467
"452",312.848293660406
"453",312.80263955722
"454",312.757006080361
"455",312.711393242459
"456",312.665801056329
"457",312.620229534959
"458",312.574678691522
"459",312.529148539367
"460",312.483639092023
"461",312.438150363194
"462",312.392682366764
"463",312.347235116793
"464",312.301808627514
"465",312.25640291334
"466",312.211017984167
"467",312.165653840705
"468",312.120310479204
"469",312.07498789615
"470",312.029686088267
"471",311.984405052516
"472",311.939144786087
"473",311.893905286411
"474",311.848686551153
"475",311.803488578206
